Benchmark,EPS Type,PE Type,EPS Change (%),PE Change (%),Adjusted EPS,Adjusted PE,Implied Index Level,Implied Return (%),Current EPS,Current PE,Current Index Level
S&P 500,trailing,trailing,-1.1102230246251565e-14,19.999999999999986,224.99999999999997,33.35999999999999,7505.999999999997,19.99999999999995,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,29.999999999999982,224.99999999999997,36.13999999999999,8131.499999999997,29.99999999999996,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,39.99999999999998,224.99999999999997,38.92,8757.0,39.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,49.99999999999998,224.99999999999997,41.699999999999996,9382.499999999998,49.99999999999998,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-50.0,247.49999999999997,13.9,3440.2499999999995,-45.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-40.0,247.49999999999997,16.68,4128.299999999999,-34.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-30.000000000000004,247.49999999999997,19.46,4816.349999999999,-23.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-20.000000000000007,247.49999999999997,22.24,5504.399999999999,-12.000000000000021,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-10.000000000000009,247.49999999999997,25.02,6192.449999999999,-1.000000000000012,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-1.1102230246251565e-14,247.49999999999997,27.799999999999997,6880.499999999998,9.999999999999964,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,9.999999999999986,247.49999999999997,30.58,7568.549999999998,20.999999999999975,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,19.999999999999986,247.49999999999997,33.35999999999999,8256.599999999997,31.99999999999994,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,29.999999999999982,247.49999999999997,36.13999999999999,8944.649999999998,42.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,39.99999999999998,247.49999999999997,38.92,9632.699999999999,53.99999999999998,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,49.99999999999998,247.49999999999997,41.699999999999996,10320.749999999998,64.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,-50.0,269.99999999999994,13.9,3752.999999999999,-40.000000000000014,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,-40.0,269.99999999999994,16.68,4503.5999999999985,-28.000000000000025,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,-30.000000000000004,269.99999999999994,19.46,5254.199999999999,-16.000000000000014,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,-20.000000000000007,269.99999999999994,22.24,6004.799999999998,-4.000000000000026,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,-10.000000000000009,269.99999999999994,25.02,6755.399999999999,7.999999999999985,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,-1.1102230246251565e-14,269.99999999999994,27.799999999999997,7505.999999999997,19.99999999999995,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,9.999999999999986,269.99999999999994,30.58,8256.599999999999,31.999999999999986,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,19.999999999999986,269.99999999999994,33.35999999999999,9007.199999999995,43.99999999999993,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,29.999999999999982,269.99999999999994,36.13999999999999,9757.799999999996,55.999999999999936,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,39.99999999999998,269.99999999999994,38.92,10508.399999999998,67.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,19.999999999999986,49.99999999999998,269.99999999999994,41.699999999999996,11258.999999999996,79.99999999999994,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,-50.0,292.49999999999994,13.9,4065.749999999999,-35.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,-40.0,292.49999999999994,16.68,4878.899999999999,-22.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,-30.000000000000004,292.49999999999994,19.46,5692.049999999999,-9.000000000000007,225.0,27.8,6255.0
